project_name,num_features,reduction_percentage,feature_names
RandomForest_4_features_reduced_by_20_percent0,4,20,"PhysicalActivity, KidneyDisease, MentalHealth, Diabetic"
RandomForest_4_features_reduced_by_40_percent0,4,40,"PhysicalActivity, KidneyDisease, MentalHealth, Diabetic"
RandomForest_4_features_reduced_by_60_percent0,4,60,"PhysicalActivity, KidneyDisease, MentalHealth, Diabetic"
RandomForest_4_features_reduced_by_80_percent0,4,80,"PhysicalActivity, KidneyDisease, MentalHealth, Diabetic"
RandomForest_3_features_reduced_by_0_percent0,3,0,"PhysicalHealth, AlcoholDrinking, BMI"
RandomForest_3_features_reduced_by_20_percent0,3,20,"PhysicalHealth, AlcoholDrinking, BMI"
RandomForest_3_features_reduced_by_40_percent0,3,40,"PhysicalHealth, AlcoholDrinking, BMI"
RandomForest_3_features_reduced_by_60_percent0,3,60,"PhysicalHealth, AlcoholDrinking, BMI"
RandomForest_3_features_reduced_by_80_percent0,3,80,"PhysicalHealth, AlcoholDrinking, BMI"
RandomForest_2_features_reduced_by_0_percent0,2,0,"PhysicalHealth, Asthma"
RandomForest_2_features_reduced_by_20_percent0,2,20,"PhysicalHealth, Asthma"
RandomForest_2_features_reduced_by_40_percent0,2,40,"PhysicalHealth, Asthma"
RandomForest_2_features_reduced_by_60_percent0,2,60,"PhysicalHealth, Asthma"
RandomForest_2_features_reduced_by_80_percent0,2,80,"PhysicalHealth, Asthma"
RandomForest_1_features_reduced_by_0_percent0,1,0,SleepTime
RandomForest_1_features_reduced_by_20_percent0,1,20,SleepTime
RandomForest_1_features_reduced_by_40_percent0,1,40,SleepTime
RandomForest_1_features_reduced_by_60_percent0,1,60,SleepTime
RandomForest_1_features_reduced_by_80_percent0,1,80,SleepTime
RandomForest_17_features_reduced_by_0_percent1,17,0,"AlcoholDrinking, Stroke, SleepTime, PhysicalHealth, Diabetic, Asthma, Smoking, Race, PhysicalActivity, Sex, AgeCategory, BMI, MentalHealth, DiffWalking, GenHealth, SkinCancer, KidneyDisease"
RandomForest_17_features_reduced_by_20_percent1,17,20,"AlcoholDrinking, Stroke, SleepTime, PhysicalHealth, Diabetic, Asthma, Smoking, Race, PhysicalActivity, Sex, AgeCategory, BMI, MentalHealth, DiffWalking, GenHealth, SkinCancer, KidneyDisease"
RandomForest_17_features_reduced_by_40_percent1,17,40,"AlcoholDrinking, Stroke, SleepTime, PhysicalHealth, Diabetic, Asthma, Smoking, Race, PhysicalActivity, Sex, AgeCategory, BMI, MentalHealth, DiffWalking, GenHealth, SkinCancer, KidneyDisease"
RandomForest_17_features_reduced_by_60_percent1,17,60,"AlcoholDrinking, Stroke, SleepTime, PhysicalHealth, Diabetic, Asthma, Smoking, Race, PhysicalActivity, Sex, AgeCategory, BMI, MentalHealth, DiffWalking, GenHealth, SkinCancer, KidneyDisease"
RandomForest_17_features_reduced_by_80_percent1,17,80,"AlcoholDrinking, Stroke, SleepTime, PhysicalHealth, Diabetic, Asthma, Smoking, Race, PhysicalActivity, Sex, AgeCategory, BMI, MentalHealth, DiffWalking, GenHealth, SkinCancer, KidneyDisease"
RandomForest_16_features_reduced_by_0_percent1,16,0,"Race, Asthma, DiffWalking, SleepTime, Sex, GenHealth, MentalHealth, Smoking, KidneyDisease, BMI, PhysicalActivity, PhysicalHealth, Stroke, AlcoholDrinking, SkinCancer, Diabetic"
RandomForest_16_features_reduced_by_20_percent1,16,20,"Race, Asthma, DiffWalking, SleepTime, Sex, GenHealth, MentalHealth, Smoking, KidneyDisease, BMI, PhysicalActivity, PhysicalHealth, Stroke, AlcoholDrinking, SkinCancer, Diabetic"
RandomForest_16_features_reduced_by_40_percent1,16,40,"Race, Asthma, DiffWalking, SleepTime, Sex, GenHealth, MentalHealth, Smoking, KidneyDisease, BMI, PhysicalActivity, PhysicalHealth, Stroke, AlcoholDrinking, SkinCancer, Diabetic"
RandomForest_16_features_reduced_by_60_percent1,16,60,"Race, Asthma, DiffWalking, SleepTime, Sex, GenHealth, MentalHealth, Smoking, KidneyDisease, BMI, PhysicalActivity, PhysicalHealth, Stroke, AlcoholDrinking, SkinCancer, Diabetic"
RandomForest_16_features_reduced_by_80_percent1,16,80,"Race, Asthma, DiffWalking, SleepTime, Sex, GenHealth, MentalHealth, Smoking, KidneyDisease, BMI, PhysicalActivity, PhysicalHealth, Stroke, AlcoholDrinking, SkinCancer, Diabetic"
RandomForest_15_features_reduced_by_0_percent1,15,0,"Sex, Race, BMI, AgeCategory, DiffWalking, PhysicalActivity, Stroke, Smoking, PhysicalHealth, Asthma, AlcoholDrinking, SkinCancer, Diabetic, KidneyDisease, SleepTime"
RandomForest_15_features_reduced_by_20_percent1,15,20,"Sex, Race, BMI, AgeCategory, DiffWalking, PhysicalActivity, Stroke, Smoking, PhysicalHealth, Asthma, AlcoholDrinking, SkinCancer, Diabetic, KidneyDisease, SleepTime"
RandomForest_15_features_reduced_by_40_percent1,15,40,"Sex, Race, BMI, AgeCategory, DiffWalking, PhysicalActivity, Stroke, Smoking, PhysicalHealth, Asthma, AlcoholDrinking, SkinCancer, Diabetic, KidneyDisease, SleepTime"
RandomForest_15_features_reduced_by_60_percent1,15,60,"Sex, Race, BMI, AgeCategory, DiffWalking, PhysicalActivity, Stroke, Smoking, PhysicalHealth, Asthma, AlcoholDrinking, SkinCancer, Diabetic, KidneyDisease, SleepTime"
RandomForest_15_features_reduced_by_80_percent1,15,80,"Sex, Race, BMI, AgeCategory, DiffWalking, PhysicalActivity, Stroke, Smoking, PhysicalHealth, Asthma, AlcoholDrinking, SkinCancer, Diabetic, KidneyDisease, SleepTime"
RandomForest_14_features_reduced_by_0_percent1,14,0,"AgeCategory, Asthma, PhysicalHealth, BMI, AlcoholDrinking, SleepTime, Race, SkinCancer, Diabetic, KidneyDisease, Sex, Smoking, GenHealth, PhysicalActivity"
RandomForest_14_features_reduced_by_20_percent1,14,20,"AgeCategory, Asthma, PhysicalHealth, BMI, AlcoholDrinking, SleepTime, Race, SkinCancer, Diabetic, KidneyDisease, Sex, Smoking, GenHealth, PhysicalActivity"
RandomForest_14_features_reduced_by_40_percent1,14,40,"AgeCategory, Asthma, PhysicalHealth, BMI, AlcoholDrinking, SleepTime, Race, SkinCancer, Diabetic, KidneyDisease, Sex, Smoking, GenHealth, PhysicalActivity"
RandomForest_14_features_reduced_by_60_percent1,14,60,"AgeCategory, Asthma, PhysicalHealth, BMI, AlcoholDrinking, SleepTime, Race, SkinCancer, Diabetic, KidneyDisease, Sex, Smoking, GenHealth, PhysicalActivity"
RandomForest_14_features_reduced_by_80_percent1,14,80,"AgeCategory, Asthma, PhysicalHealth, BMI, AlcoholDrinking, SleepTime, Race, SkinCancer, Diabetic, KidneyDisease, Sex, Smoking, GenHealth, PhysicalActivity"
RandomForest_13_features_reduced_by_0_percent1,13,0,"Stroke, SleepTime, DiffWalking, BMI, Asthma, GenHealth, PhysicalHealth, Sex, AlcoholDrinking, Race, Smoking, PhysicalActivity, Diabetic"
RandomForest_13_features_reduced_by_20_percent1,13,20,"Stroke, SleepTime, DiffWalking, BMI, Asthma, GenHealth, PhysicalHealth, Sex, AlcoholDrinking, Race, Smoking, PhysicalActivity, Diabetic"
RandomForest_13_features_reduced_by_40_percent1,13,40,"Stroke, SleepTime, DiffWalking, BMI, Asthma, GenHealth, PhysicalHealth, Sex, AlcoholDrinking, Race, Smoking, PhysicalActivity, Diabetic"
RandomForest_13_features_reduced_by_60_percent1,13,60,"Stroke, SleepTime, DiffWalking, BMI, Asthma, GenHealth, PhysicalHealth, Sex, AlcoholDrinking, Race, Smoking, PhysicalActivity, Diabetic"
RandomForest_13_features_reduced_by_80_percent1,13,80,"Stroke, SleepTime, DiffWalking, BMI, Asthma, GenHealth, PhysicalHealth, Sex, AlcoholDrinking, Race, Smoking, PhysicalActivity, Diabetic"
RandomForest_12_features_reduced_by_0_percent1,12,0,"AgeCategory, PhysicalActivity, SleepTime, Diabetic, Stroke, Race, Asthma, AlcoholDrinking, Sex, PhysicalHealth, Smoking, BMI"
RandomForest_12_features_reduced_by_20_percent1,12,20,"AgeCategory, PhysicalActivity, SleepTime, Diabetic, Stroke, Race, Asthma, AlcoholDrinking, Sex, PhysicalHealth, Smoking, BMI"
RandomForest_12_features_reduced_by_40_percent1,12,40,"AgeCategory, PhysicalActivity, SleepTime, Diabetic, Stroke, Race, Asthma, AlcoholDrinking, Sex, PhysicalHealth, Smoking, BMI"
RandomForest_12_features_reduced_by_60_percent1,12,60,"AgeCategory, PhysicalActivity, SleepTime, Diabetic, Stroke, Race, Asthma, AlcoholDrinking, Sex, PhysicalHealth, Smoking, BMI"
RandomForest_12_features_reduced_by_80_percent1,12,80,"AgeCategory, PhysicalActivity, SleepTime, Diabetic, Stroke, Race, Asthma, AlcoholDrinking, Sex, PhysicalHealth, Smoking, BMI"
RandomForest_11_features_reduced_by_0_percent1,11,0,"Asthma, PhysicalHealth, Smoking, Race, GenHealth, SleepTime, Diabetic, AgeCategory, AlcoholDrinking, MentalHealth, DiffWalking"
RandomForest_11_features_reduced_by_20_percent1,11,20,"Asthma, PhysicalHealth, Smoking, Race, GenHealth, SleepTime, Diabetic, AgeCategory, AlcoholDrinking, MentalHealth, DiffWalking"
RandomForest_11_features_reduced_by_40_percent1,11,40,"Asthma, PhysicalHealth, Smoking, Race, GenHealth, SleepTime, Diabetic, AgeCategory, AlcoholDrinking, MentalHealth, DiffWalking"
RandomForest_11_features_reduced_by_60_percent1,11,60,"Asthma, PhysicalHealth, Smoking, Race, GenHealth, SleepTime, Diabetic, AgeCategory, AlcoholDrinking, MentalHealth, DiffWalking"
RandomForest_11_features_reduced_by_80_percent1,11,80,"Asthma, PhysicalHealth, Smoking, Race, GenHealth, SleepTime, Diabetic, AgeCategory, AlcoholDrinking, MentalHealth, DiffWalking"
