project_name,num_features,reduction_percentage,feature_names
GaussianNB_7_features_reduced_by_0_percent0,7,0,"pdays, cons.conf.idx, emp.var.rate, contact, default, month, euribor3m"
GaussianNB_7_features_reduced_by_20_percent0,7,20,"pdays, cons.conf.idx, emp.var.rate, contact, default, month, euribor3m"
GaussianNB_7_features_reduced_by_40_percent0,7,40,"pdays, cons.conf.idx, emp.var.rate, contact, default, month, euribor3m"
GaussianNB_7_features_reduced_by_60_percent0,7,60,"pdays, cons.conf.idx, emp.var.rate, contact, default, month, euribor3m"
GaussianNB_7_features_reduced_by_80_percent0,7,80,"pdays, cons.conf.idx, emp.var.rate, contact, default, month, euribor3m"
GaussianNB_6_features_reduced_by_0_percent0,6,0,"marital, housing, age, loan, cons.conf.idx, education"
GaussianNB_6_features_reduced_by_20_percent0,6,20,"marital, housing, age, loan, cons.conf.idx, education"
GaussianNB_6_features_reduced_by_40_percent0,6,40,"marital, housing, age, loan, cons.conf.idx, education"
GaussianNB_6_features_reduced_by_60_percent0,6,60,"marital, housing, age, loan, cons.conf.idx, education"
GaussianNB_6_features_reduced_by_80_percent0,6,80,"marital, housing, age, loan, cons.conf.idx, education"
GaussianNB_5_features_reduced_by_0_percent0,5,0,"previous, cons.price.idx, age, loan, day_of_week"
GaussianNB_5_features_reduced_by_20_percent0,5,20,"previous, cons.price.idx, age, loan, day_of_week"
GaussianNB_5_features_reduced_by_40_percent0,5,40,"previous, cons.price.idx, age, loan, day_of_week"
GaussianNB_5_features_reduced_by_60_percent0,5,60,"previous, cons.price.idx, age, loan, day_of_week"
GaussianNB_5_features_reduced_by_80_percent0,5,80,"previous, cons.price.idx, age, loan, day_of_week"
GaussianNB_4_features_reduced_by_0_percent0,4,0,"loan, month, emp.var.rate, housing"
GaussianNB_4_features_reduced_by_20_percent0,4,20,"loan, month, emp.var.rate, housing"
GaussianNB_4_features_reduced_by_40_percent0,4,40,"loan, month, emp.var.rate, housing"
GaussianNB_4_features_reduced_by_60_percent0,4,60,"loan, month, emp.var.rate, housing"
GaussianNB_4_features_reduced_by_80_percent0,4,80,"loan, month, emp.var.rate, housing"
GaussianNB_3_features_reduced_by_0_percent0,3,0,"month, loan, default"
GaussianNB_3_features_reduced_by_20_percent0,3,20,"month, loan, default"
GaussianNB_3_features_reduced_by_40_percent0,3,40,"month, loan, default"
GaussianNB_3_features_reduced_by_60_percent0,3,60,"month, loan, default"
GaussianNB_3_features_reduced_by_80_percent0,3,80,"month, loan, default"
GaussianNB_2_features_reduced_by_0_percent0,2,0,"marital, age"
GaussianNB_2_features_reduced_by_20_percent0,2,20,"marital, age"
GaussianNB_2_features_reduced_by_40_percent0,2,40,"marital, age"
GaussianNB_2_features_reduced_by_60_percent0,2,60,"marital, age"
GaussianNB_2_features_reduced_by_80_percent0,2,80,"marital, age"
GaussianNB_1_features_reduced_by_0_percent0,1,0,age
GaussianNB_1_features_reduced_by_20_percent0,1,20,age
GaussianNB_1_features_reduced_by_40_percent0,1,40,age
GaussianNB_1_features_reduced_by_60_percent0,1,60,age
GaussianNB_1_features_reduced_by_80_percent0,1,80,age
GaussianNB_19_features_reduced_by_0_percent1,19,0,"housing, age, nr.employed, education, loan, default, euribor3m, month, pdays, emp.var.rate, cons.price.idx, marital, day_of_week, previous, cons.conf.idx, poutcome, job, contact, y"
GaussianNB_19_features_reduced_by_20_percent1,19,20,"housing, age, nr.employed, education, loan, default, euribor3m, month, pdays, emp.var.rate, cons.price.idx, marital, day_of_week, previous, cons.conf.idx, poutcome, job, contact, y"
GaussianNB_19_features_reduced_by_40_percent1,19,40,"housing, age, nr.employed, education, loan, default, euribor3m, month, pdays, emp.var.rate, cons.price.idx, marital, day_of_week, previous, cons.conf.idx, poutcome, job, contact, y"
GaussianNB_19_features_reduced_by_60_percent1,19,60,"housing, age, nr.employed, education, loan, default, euribor3m, month, pdays, emp.var.rate, cons.price.idx, marital, day_of_week, previous, cons.conf.idx, poutcome, job, contact, y"
GaussianNB_19_features_reduced_by_80_percent1,19,80,"housing, age, nr.employed, education, loan, default, euribor3m, month, pdays, emp.var.rate, cons.price.idx, marital, day_of_week, previous, cons.conf.idx, poutcome, job, contact, y"
GaussianNB_18_features_reduced_by_0_percent1,18,0,"cons.price.idx, pdays, day_of_week, cons.conf.idx, emp.var.rate, nr.employed, default, contact, job, poutcome, housing, month, y, education, marital, euribor3m, age, previous"
GaussianNB_18_features_reduced_by_20_percent1,18,20,"cons.price.idx, pdays, day_of_week, cons.conf.idx, emp.var.rate, nr.employed, default, contact, job, poutcome, housing, month, y, education, marital, euribor3m, age, previous"
GaussianNB_18_features_reduced_by_40_percent1,18,40,"cons.price.idx, pdays, day_of_week, cons.conf.idx, emp.var.rate, nr.employed, default, contact, job, poutcome, housing, month, y, education, marital, euribor3m, age, previous"
GaussianNB_18_features_reduced_by_60_percent1,18,60,"cons.price.idx, pdays, day_of_week, cons.conf.idx, emp.var.rate, nr.employed, default, contact, job, poutcome, housing, month, y, education, marital, euribor3m, age, previous"
GaussianNB_18_features_reduced_by_80_percent1,18,80,"cons.price.idx, pdays, day_of_week, cons.conf.idx, emp.var.rate, nr.employed, default, contact, job, poutcome, housing, month, y, education, marital, euribor3m, age, previous"
GaussianNB_17_features_reduced_by_0_percent1,17,0,"month, housing, previous, loan, y, marital, cons.conf.idx, job, pdays, poutcome, contact, day_of_week, age, emp.var.rate, nr.employed, education, default"
GaussianNB_17_features_reduced_by_20_percent1,17,20,"month, housing, previous, loan, y, marital, cons.conf.idx, job, pdays, poutcome, contact, day_of_week, age, emp.var.rate, nr.employed, education, default"
GaussianNB_17_features_reduced_by_40_percent1,17,40,"month, housing, previous, loan, y, marital, cons.conf.idx, job, pdays, poutcome, contact, day_of_week, age, emp.var.rate, nr.employed, education, default"
