energy_consumed,num_num_features,num_cat_features,number_of_instances,model
2.230554002834613e-06,2,2,320000.0,3.0
2.0103894543467502e-06,2,2,256000.0,3.0
2.614493804263892e-06,2,2,192000.0,3.0
9.298878685310936e-07,2,2,128000.0,3.0
6.19451541306325e-07,2,2,63999.999999999985,3.0
2.502431144340752e-06,0,3,320000.0,3.0
1.8112533206404024e-06,0,3,256000.0,3.0
1.3136271085623243e-06,0,3,192000.0,3.0
1.735665929643915e-06,0,3,128000.0,3.0
1.029679473606077e-06,0,3,63999.999999999985,3.0
2.044003486890726e-06,0,2,320000.0,3.0
1.5631534278027304e-06,0,2,256000.0,3.0
1.3991864754634285e-06,0,2,192000.0,3.0
7.849227067838329e-07,0,2,128000.0,3.0
7.195196474643556e-07,0,2,63999.999999999985,3.0
4.423206992356655e-06,0,1,320000.0,3.0
1.6815746175483228e-06,0,1,256000.0,3.0
1.6183961472314146e-06,0,1,192000.0,3.0
1.2414038084169004e-06,0,1,128000.0,3.0
8.010756184928723e-07,0,1,63999.999999999985,3.0
5.193518077367621e-06,4,13,320000.0,3.0
8.219638902897625e-06,4,13,256000.0,3.0
3.2817228482972244e-06,4,13,192000.0,3.0
2.215501474406286e-06,4,13,128000.0,3.0
9.732297580942231e-07,4,13,63999.999999999985,3.0
4.624895849924669e-06,4,12,320000.0,3.0
3.980729468588607e-06,4,12,256000.0,3.0
5.426938929139485e-06,4,12,192000.0,3.0
1.7414391250870016e-06,4,12,128000.0,3.0
9.490623762050948e-07,4,12,63999.999999999985,3.0
5.081876233968627e-06,4,11,320000.0,3.0
3.916764444670662e-06,4,11,256000.0,3.0
4.880406025541599e-06,4,11,192000.0,3.0
3.846171340266678e-06,4,11,128000.0,3.0
1.186006653734732e-06,4,11,63999.999999999985,3.0
4.852570293677003e-06,3,11,320000.0,3.0
4.061501466648565e-06,3,11,256000.0,3.0
2.8322694316948907e-06,3,11,192000.0,3.0
4.103598441651318e-06,3,11,128000.0,3.0
1.8006382360571e-06,3,11,63999.999999999985,3.0
4.799676229523521e-06,4,9,320000.0,3.0
3.33145447353205e-06,4,9,256000.0,3.0
2.7239552714007687e-06,4,9,192000.0,3.0
1.9269373141459787e-06,4,9,128000.0,3.0
1.0933185721124045e-06,4,9,63999.999999999985,3.0
6.52766382237044e-06,3,9,320000.0,3.0
2.973942167821204e-06,3,9,256000.0,3.0
2.289549851267717e-06,3,9,192000.0,3.0
1.4510481769463014e-06,3,9,128000.0,3.0
7.65892469385992e-07,3,9,63999.999999999985,3.0
3.90853782074948e-06,4,7,320000.0,3.0
5.476885118352154e-06,4,7,256000.0,3.0
2.182035580968192e-06,4,7,192000.0,3.0
1.6135826642564806e-06,4,7,128000.0,3.0
7.72280814563765e-07,4,7,63999.999999999985,3.0
4.677247852423408e-06,1,9,320000.0,3.0
3.664498658469344e-06,1,9,256000.0,3.0
4.61986685076378e-06,1,9,192000.0,3.0
1.461692162251893e-06,1,9,128000.0,3.0
9.319527995333804e-07,1,9,63999.999999999985,3.0
3.953874523167163e-06,2,7,320000.0,3.0
3.205994427634412e-06,2,7,256000.0,3.0
2.3664131634385893e-06,2,7,192000.0,3.0
2.0458031784001048e-06,2,7,128000.0,3.0
